job_title,company_name,job_type
Data Scientist & BI Developer,Easy System -,Full Time
Data Scientist,Seoudi Supermarket -,Part Time
Data Annotation,GAP CLOUD -,Full Time
Sr- Data Engineer,more and more -,Full Time
Big data Expert,Perfect Presentation -,Part Time
Full Stack Senior Java Developer (Remotely for USA),Mobile Wave 3 -,Full Time
Research Software Development Engineer,TensorGraph -,Full Time
Enterprise Architect Lead,Meem Development -,Full Time
Marketing Executive,Hamza Group -,Full Time
Integration Developer,Perfect Presentation -,Full Time
Senior Computer Vision Engineer,Atomica -,Full Time
